,criterion,max_depth,min_samples_leaf,n_estimators,Accuracy
266,entropy,2,6,300,0.7580408163265306
267,entropy,2,6,500,0.7701224489795919
268,entropy,2,6,800,0.7701224489795919
269,entropy,2,6,1000,0.7741224489795918
270,entropy,3,1,100,0.8062857142857143
271,entropy,3,1,300,0.8103673469387754
272,entropy,3,1,500,0.7982857142857143
273,entropy,3,1,800,0.8103673469387754
274,entropy,3,1,1000,0.8104489795918367
275,entropy,3,2,100,0.8102857142857143
276,entropy,3,2,300,0.8063673469387755
277,entropy,3,2,500,0.8022857142857143
278,entropy,3,2,800,0.8144489795918368
279,entropy,3,2,1000,0.8144489795918368
280,entropy,3,3,100,0.7942857142857143
281,entropy,3,3,300,0.8023673469387754
282,entropy,3,3,500,0.7982857142857143
283,entropy,3,3,800,0.8103673469387754
284,entropy,3,3,1000,0.8144489795918368
285,entropy,3,4,100,0.7902857142857143
286,entropy,3,4,300,0.8064489795918368
287,entropy,3,4,500,0.8063673469387755
288,entropy,3,4,800,0.8062857142857143
289,entropy,3,4,1000,0.8062857142857143
290,entropy,3,5,100,0.7902857142857143
291,entropy,3,5,300,0.7942857142857143
292,entropy,3,5,500,0.8063673469387755
293,entropy,3,5,800,0.8062857142857143
294,entropy,3,5,1000,0.8062857142857143
295,entropy,3,6,100,0.786204081632653
296,entropy,3,6,300,0.8023673469387754
297,entropy,3,6,500,0.8022857142857143
298,entropy,3,6,800,0.8062857142857143
299,entropy,3,6,1000,0.8062857142857143
300,entropy,4,1,100,0.8182857142857143
301,entropy,4,1,300,0.802204081632653
302,entropy,4,1,500,0.8022857142857143
303,entropy,4,1,800,0.8102857142857143
304,entropy,4,1,1000,0.8102857142857143
305,entropy,4,2,100,0.8142857142857143
306,entropy,4,2,300,0.806204081632653
307,entropy,4,2,500,0.8062857142857143
308,entropy,4,2,800,0.8062857142857143
309,entropy,4,2,1000,0.8102857142857143
310,entropy,4,3,100,0.8142857142857143
311,entropy,4,3,300,0.8062857142857143
312,entropy,4,3,500,0.8062857142857143
313,entropy,4,3,800,0.8062857142857143
314,entropy,4,3,1000,0.8102857142857143
315,entropy,4,4,100,0.8182857142857143
316,entropy,4,4,300,0.8062857142857143
317,entropy,4,4,500,0.8062857142857143
318,entropy,4,4,800,0.8102857142857143
319,entropy,4,4,1000,0.8062857142857143
320,entropy,4,5,100,0.8142857142857143
321,entropy,4,5,300,0.8102857142857143
322,entropy,4,5,500,0.8062857142857143
323,entropy,4,5,800,0.8102857142857143
324,entropy,4,5,1000,0.8102857142857143
325,entropy,4,6,100,0.8144489795918368
326,entropy,4,6,300,0.8022857142857143
327,entropy,4,6,500,0.8022857142857143
328,entropy,4,6,800,0.8062857142857143
329,entropy,4,6,1000,0.8102857142857143
330,entropy,5,1,100,0.8142857142857143
331,entropy,5,1,300,0.806204081632653
332,entropy,5,1,500,0.8062857142857143
333,entropy,5,1,800,0.7982040816326531
334,entropy,5,1,1000,0.7982040816326531
335,entropy,5,2,100,0.8142040816326531
336,entropy,5,2,300,0.806204081632653
337,entropy,5,2,500,0.806204081632653
338,entropy,5,2,800,0.806204081632653
339,entropy,5,2,1000,0.806204081632653
340,entropy,5,3,100,0.8142040816326531
341,entropy,5,3,300,0.806204081632653
342,entropy,5,3,500,0.806204081632653
343,entropy,5,3,800,0.806204081632653
344,entropy,5,3,1000,0.806204081632653
345,entropy,5,4,100,0.810204081632653
346,entropy,5,4,300,0.802204081632653
347,entropy,5,4,500,0.806204081632653
348,entropy,5,4,800,0.806204081632653
349,entropy,5,4,1000,0.806204081632653
350,entropy,5,5,100,0.810204081632653
351,entropy,5,5,300,0.802204081632653
352,entropy,5,5,500,0.806204081632653
353,entropy,5,5,800,0.806204081632653
354,entropy,5,5,1000,0.806204081632653
355,entropy,5,6,100,0.8223673469387756
356,entropy,5,6,300,0.8062857142857143
357,entropy,5,6,500,0.8102857142857143
358,entropy,5,6,800,0.806204081632653
359,entropy,5,6,1000,0.8102857142857143
360,entropy,6,1,100,0.794204081632653
361,entropy,6,1,300,0.7982040816326531
362,entropy,6,1,500,0.8022857142857143
363,entropy,6,1,800,0.8022857142857143
364,entropy,6,1,1000,0.8022857142857143
365,entropy,6,2,100,0.802204081632653
366,entropy,6,2,300,0.806204081632653
367,entropy,6,2,500,0.8062857142857143
368,entropy,6,2,800,0.802204081632653
369,entropy,6,2,1000,0.802204081632653
370,entropy,6,3,100,0.8061224489795918
371,entropy,6,3,300,0.802204081632653
372,entropy,6,3,500,0.8102857142857143
373,entropy,6,3,800,0.806204081632653
374,entropy,6,3,1000,0.802204081632653
